"name","rank","position","location","commitCollege","year"
"CHAMBERLAIN OGUCHI","74","SG","Richmond, TX","Oregon","2004"
"JOAKIM NOAH","75","PF","New York, NY","Florida","2004"
"JUSTIN CERASOLI","76","PG","Aurora, IL West Aurora","Seton Hall","2004"
"A.J. RATLIFF","77","SG","Indianapolis, IN North Central","Indiana","2004"
"SHAUN PRUITT","78","PF","Aurora, IL West Aurora","Illinois","2004"
"DESEAN WHITE","79","PF","Olney, PA","Providence","2004"
"JAMES HARDY","80","WR","Ft. Wayne, IN Elmhurst","Indiana","2004"
"DAVIS NWANKWO","81","PF","College Park, MD","Vanderbilt","2004"
"SHAN FOSTER","82","SF","Kenner, LA Alfred Bonnabel","Vanderbilt","2004"
"ROBERT DOZIER","83","SF","Lithonia, GA","Memphis","2004"
"CHANNING TONEY","84","SG","Snellville, GA Brookwood","Georgia","2004"
"ROBERT KURZ","85","SF","Lower Gwynedd, PA","Notre Dame","2004"
"DAVID MCCLURE","86","SF","Stamford, CT Trinity Catholic","Duke","2004"
"LORRENZO WADE","87","SG","Las Vegas, NV Cheyenne","Louisville","2004"
"SUNDIATA GAINES","88","SG","Jamaica, NY","Georgia","2004"
"DEVON HARDIN","89","PF","Newark, CA Newark Memorial","California","2004"
"CAMERON STANLEY","90","SF","Raleigh, NC Millbrook","Wake Forest","2004"
"RAMEL BRADLEY","91","SG","New York, NY","Kentucky","2004"
"GLEN DANDRIDGE","92","SF","Durham, NC Mt. Zion","Missouri","2004"
"ANDREW BRACKMAN","93","SF","Cincinnati, OH Moeller","NC State","2004"
"ANTHONY MORROW","94","SF","Charlotte, NC Charlotte Catholic","Georgia Tech","2004"
"RONALD COLEMAN","95","SF","Romulus, MI Romulus","Michigan","2004"
"QUENTIN THOMAS","96","PG","Oakland, CA Oakland Tech Senior","North Carolina","2004"
"ERIC VIERNEISEL","97","SF","Algonquin, IL","California","2004"
"JERMAINE BELL","98","C","Rochester, NY","St. John's","2004"
"ROBERT ROTHBART","99","C","Sacramento, CA Natomas","Undecided","2004"
"CHARLIE WHITE","100","PG","Jackson, MS Provine","Jackson State","2004"
"CHURCHILL ODIA","101","SF","Lagos, Nigeria,","Oregon","2004"
"JOSEPH JONES","102","C","Normangee, TX Normangee","Texas A&M","2004"
"JAMES MAYS","103","PF","Raleigh, NC","Clemson","2004"
"SEAN WILLIAMS","104","PF","Mansfield, TX Mansfield","Boston College","2004"
"TAUREAN GREEN","105","PG","Boca Raton, FL","Florida","2004"
"JERRELL HOUSTON","106","SF","Memphis, TN Memphis East","Mississippi St","2004"
"CORNELIO GUIBUNDA","107","PF","Mozambique,","Georgetown","2004"
"GAVIN GRANT","108","SF","Bronx, NY St. Raymond's","NC State","2004"
"LAMAR ROBERSON","109","SF","Los Angeles, CA Dominguez","Undecided","2004"
"DREW RICHARDS","110","PF","Rogersville, MO Logan Rogersville","Missouri State","2004"
"MATT TERWILLIGER","111","PF","Troy, OH Troy","Ohio State","2004"
"JOSH DUNCAN","112","SF","Cincinnati, OH Moeller","Xavier","2004"
"PETER PROWITT","113","C","McLean, VA The Potomac School","Stanford","2004"
"TIM PIERCE","114","SF","Oakland, CA Fremont","Arizona State","2004"
"DAVID BURGESS","115","C","Irvine, CA Woodbridge","Brigham Young","2004"
"CLENT STEWART","116","SG","Tulsa, OK Union","Kansas State","2004"
"HECTOR HERNANDEZ","117","SF","Denver, CO Abraham Lincoln","Fresno State","2004"
"SPENCER TOLLACKSON","118","PF","Chaska, MN Chaska","Minnesota","2004"
"DARRYL GARRETT","119","SG","Detroit, MI Denby","E Michigan","2004"
"JOSH HEYTVELT","120","PF","Clarkston, WA Clarkston","Gonzaga","2004"
"TYREE EVANS","121","WR","Richmond, VA George Wythe","Cincinnati","2004"
"KEITH BENJAMIN","122","SG","Mount Vernon, NY Mount Vernon","Pittsburgh","2004"
"GORAN SUTON","123","C","Lansing, MI Everett High School","Michigan State","2004"
"JEREMY PARNELL","124","C","Gosnell, AR","Mississippi","2004"
"DAMIEN HARRIS","125","C","Greenville, SC Wade Hampton","Tennessee","2004"
"DWAYNE DAY","126","SF","Mt. Vernon, GA","South Carolina","2004"
"ALEX THOMPSON","127","PF","Ames, IA Ames Senior","Iowa","2004"
"SEAN OGIRRI","128","SG","Denver, CO Denver East","Wichita State","2004"
"ENRICO TUCKER","129","PG","San Diego, CA University City","Minnesota","2004"
"JON LUCKY","130","PG","Waterbury, CT Sacred Heart","Rhode Island","2004"
"RODNEY STUCKEY","131","SG","Kent, WA Kentwood","E Washington","2004"
"FRANK HOLMES","132","PF","Somerville, TN Fayette Ware","UAB","2004"
"CHRIS MILES","133","C","Provo, UT Timpview","Brigham Young","2004"
"FRANK TOLBERT","134","SG","Red Level, AL","Auburn","2004"
"ALEX GORDON","135","PG","Pensacola, FL Pensacola","Vanderbilt","2004"
"J.R. ANGLE","136","SF","Trafalgar, IN Indian Creek Senior","Iowa","2004"
"ROBERT CLARK","137","SG","Jackson, MS Lanier","Mississippi","2004"
"DERRICK LOW","138","PG","Honolulu, HI Iolani","Washington St","2004"
"LEE CUMMARD","139","SG","Mesa, AZ Mesa","Brigham Young","2004"
