"name","rank","position","location","commitCollege","year"
"JEREMY HOLLOWELL","41","SF","Indianapolis, IN Lawrence Central","Indiana","2012"
"DANIEL OCHEFU","42","C","Westtown, PA Westtown School","Villanova","2012"
"HANNER PEREA","43","PF","La Porte, IN La Lumiere School","Indiana","2012"
"SHAQUILLE GOODWIN","44","PF","Decatur, GA Southwest Dekalb","Memphis","2012"
"J.P. TOKOTO","45","SF","Menomonee Falls, WI Menomonee Falls","North Carolina","2012"
"GABE YORK","46","SG","Orange, CA Lutheran","Arizona","2012"
"DOMINIC ARTIS","47","PG","Vallejo (Calif.), NV Findlay Prep","Oregon","2012"
"TYLER LEWIS","48","PG","Statesville (N.C.), VA Oak Hill Academy","NC State","2012"
"BRICE JOHNSON","49","PF","Cordova, SC Edisto","North Carolina","2012"
"ADAM WOODBURY","50","C","Sioux City, IA East High School","Iowa","2012"
"ANDREW WHITE","51","SF","Chester, VA Miller School","Kansas","2012"
"ROBERT UPSHAW","52","C","Fresno, CA San Joaquin Memorial","Fresno State","2012"
"SHAQUILLE CLEARE","53","C","Houston, TX The Village School","Maryland","2012"
"CHICKEN KNOWLES","54","PF","Houston, TX HCYA","Houston","2012"
"PRINCE IBEH","55","C","Garland, TX Naaman Forest","Texas","2012"
"ELIJAH MACON","56","PF","Columbus (Ohio), WV Huntington Prep","West Virginia","2012"
"RYAN ARCIDIACONO","57","PG","Langhorne, PA Neshaminy","Villanova","2012"
"CHRISTOPHER OBEKPA","58","C","Centereach, NY Our Savior New American","St. John's","2012"
"JAMES ROBINSON","59","PG","Hyattsville, MD DeMatha","Pittsburgh","2012"
"MONTAY BRANDON","60","SF","High Point, NC Wesleyan Christian Academy","Florida State","2012"
"JOSH SCOTT","61","C","Colorado Springs, CO Lewis Palmer","Colorado","2012"
"JORDAN ADAMS","62","SF","Mouth of Wilson, VA Oak Hill Academy","UCLA","2012"
"ANTHONY JANUARY","63","PF","Woodland Hills, CA Taft","UTEP","2012"
"JERAMI GRANT","64","PF","Hyattsville, MD DeMatha","Syracuse","2012"
"JOEL JAMES","65","C","West Palm Beach, FL Dwyer","North Carolina","2012"
"CODI MILLER-MCINTYRE","66","PG","Concord (N.C.), VA Hargrave Military Academy","Wake Forest","2012"
"TORIAN GRAHAM","67","SG","Durham, NC Christian Faith Center Academy","Undecided","2012"
"J-MYCHAL REESE","68","PG","Bryan, TX Bryan","Texas A&M","2012"
"GEORGES NIANG","69","PF","Tilton, NH Tilton School","Iowa State","2012"
"JAKE LAYMAN","70","PF","Wrentham, MA King Philip Regional","Maryland","2012"
"NICK STAUSKAS","71","SG","Southborough, MA St. Mark's","Michigan","2012"
"SAVON GOODMAN","72","PF","Philadelphia, PA Constitution High School","UNLV","2012"
"ROSCO ALLEN","73","PF","Las Vegas, NV Bishop Gorman","Stanford","2012"
"L.J. ROSE","74","PG","Houston, TX Westbury Christian","Baylor","2012"
"XAVIER JOHNSON","75","SF","Santa Ana, CA Mater Dei","Colorado","2012"
"MIKE TOBEY","76","C","Ramsey, NJ Blair Academy","Virginia","2012"
"A.J. HAMMONS","77","C","Carmel (Ind.), VA Oak Hill Academy","Purdue","2012"
"BRAXTON OGBUEZE","78","SG","Charlotte, NC United Faith Christian Academy","Florida","2012"
"JORDAN PRICE","79","SF","Lithonia, GA Southwest Dekalb","Auburn","2012"
"TERRY ROZIER","80","PG","Shaker Heights, OH Shaker Heights","Louisville","2012"
"DENZEL VALENTINE","81","SG","Lansing, MI Sexton","Michigan State","2012"
"MONTREZL HARRELL","82","PF","Tarboro (N.C.), VA Hargrave Military Academy","Louisville","2012"
"MATT COSTELLO","83","PF","Auburn, MI Bay City Western","Michigan State","2012"
"ALEX CARUSO","84","SG","College Station, TX A&M Consolidated","Texas A&M","2012"
"DEMARQUISE JOHNSON","85","SF","Pontiac (Mich.), AZ Westwind Prep International","Washington St","2012"
"BUDDY HIELD","86","SG","Bel Aire, KS Sunrise Christian Academy","Oklahoma","2012"
"TYRONE WALLACE","87","PG","Bakersfield, CA Bakersfield","California","2012"
"MICHAEL FRAZIER","88","SG","Montverde, FL Montverde Academy","Florida","2012"
"MALIK MORGAN","89","SG","River Ridge, LA John Curtis","Louisiana State","2012"
"CRAIG SWORD","90","SG","Montgomery, AL Carver","Mississippi St","2012"
"EVAN NOLTE","91","SF","Alpharetta, GA Milton","Virginia","2012"
"CHARLES MITCHELL","92","PF","Marietta, GA Wheeler","Maryland","2012"
"KELLEN DUNHAM","93","SG","Pendleton, IN Pendleton Heights","Butler","2012"
"RONNIE JOHNSON","94","PG","Indianapolis, IN North Central","Purdue","2012"
"MARCUS HUNT","95","SF","College Park, GA North Clayton","Georgia Tech","2012"
"RAPHEAL DAVIS","96","SF","Ft. Wayne (Ind.), IN La Lumiere School","Purdue","2012"
"ZACH AUGUSTE","97","PF","New Hampton, NH New Hampton Prep","Notre Dame","2012"
"ANRIO ADAMS","98","SG","Seattle, WA Rainier Beach","Kansas","2012"
"MELVIN JOHNSON","99","SG","New York (N.Y.), NJ St. Benedict's HS","Va Commonwealth","2012"
"MIKE GESELL","100","PG","S. Sioux City, NE South Sioux City","Iowa","2012"
"JORDAN BURGESS","101","SF","Richmond, VA Benedictine School","Va Commonwealth","2012"
"JELON HORNBEAK","102","SG","Arlington, TX Grace Prep","Oklahoma","2012"
"DARRICK WOOD","103","SG","North Bridgton, ME Bridgton Academy","St. John's","2012"
"MARTAVIOUS NEWBY","104","SG","Memphis, TN B T Washington","Mississippi","2012"
"GAVIN WARE","105","C","Starkville, MS Starkville","Mississippi St","2012"
"CHRIS BOLDEN","106","SG","Suwanee, GA North Gwinnett","Georgia Tech","2012"
"JOSH GRAY","107","PG","Houston, TX Wheatley","Texas Tech","2012"
"NEGUS WEBSTER-CHAN","108","SF","Huntington, WV Huntington","Missouri","2012"
"STEVE TAYLOR","109","PF","Chicago, IL Simeon","Marquette","2012"
"JAVAN FELIX","110","PG","New Orleans, LA St. Augustine","Texas","2012"
"SHAQUILLE JOHNSON","111","SF","Alpharetta, GA Milton","Auburn","2012"
"JAY SIMPSON","112","PF","Champaign (Ill.), IN La Lumiere School","Purdue","2012"
"KENNY KAMINSKI","113","PF","Medina, OH Medina","Michigan State","2012"
"JARON BLOSSOMGAME","114","PF","Alpharetta, GA Chattahoochee","Clemson","2012"
"WANAAH BAIL","115","PF","Rosenberg, TX Lamar Consolidated","Texas Tech","2012"
"TWYMOND HOWARD","116","SF","Pearl, MS Pearl","UTEP","2012"
"JAVONTAE HAWKINS","117","SF","Flint (Mich.), WV Huntington Prep","South Florida","2012"
"PHILLIP NOLAN","118","C","Milwauke, WI Riverside University","Connecticut","2012"
"CHRIS WASHBURN","119","PF","Grand Prairie, TX South Grand Prairie","UTEP","2012"
"JORDAN HARE","120","PF","Saginaw, MI Arthur Hill","Rhode Island","2012"
"JEROME HAIRSTON","121","PG","Salem (Va.), NC Christ School","Towson","2012"
"ANTHONY CORTESIA","122","SF","Montverde, FL Montverde Academy","Mississippi","2012"
"TEVIN GLASS","123","PF","Alpharetta, GA Milton","Undecided","2012"
"ARNAUD ADALA MOTO","124","PF","Alexandria, VA Episcopal","Wake Forest","2012"
"SHERRON DORSEY-WALKER","125","SG","Detroit, MI Pershing","Iowa State","2012"
"SKYLAR SPENCER","126","C","Los Angeles, CA Price","San Diego State","2012"
"KENNY GAINES","127","SG","Mableton, GA Whitefield Academy","Georgia","2012"
"JORDAN LOVERIDGE","128","SF","West Jordan, UT West Jordan","Utah","2012"
"JACOREY WILLIAMS","129","PF","Birmingham, AL Central Park","Arkansas","2012"
"BEN CARTER","130","PF","Las Vegas, NV Bishop Gorman","Oregon","2012"
"RON PATTERSON","131","SG","Indianapolis, IN Indianapolis Broad Ripple","Indiana","2012"
"GRANT VERHOEVEN","132","PF","Visalia, CA Central Valley Christian","Stanford","2012"
"MIKE HALL","133","C","College Park, GA Woodward Academy","Harvard","2012"
"JAMAL FERGUSON","134","SG","Norfolk, VA Maury","Marquette","2012"
"KALE ABRAHAMSON","135","SF","West Des Moines, IA Valley","Northwestern","2012"
"MYLES DAVIS","136","SG","Fitchburg, MA Notre Dame","Xavier","2012"
"ZACH PETERS","137","PF","Plano, TX Prestonwood Christian Academy","Kansas","2012"
"FRED VAN VLEET","138","PG","Rockford, IL Auburn","Wichita State","2012"
"LANGSTON MORRIS-WALKER","139","SF","Berkeley, CA Berkeley","Oregon State","2012"
"DAMIEN WILSON","140","SF","Mouth of Wilson, VA Oak Hill Academy","Memphis","2012"
"JERRON WILBUT","141","SG","Delafield, WI St Johns Nw Military Academy","Seton Hall","2012"
"DEVON WALKER","142","SF","Winter Haven, FL Winter Haven","Florida","2012"
"JODAN PRICE","143","SF","Detroit, MI Country Day","DePaul","2012"
"DEMETRIS MORANT","144","C","Las Vegas, NV Bishop Gorman","UNLV","2012"
"CHAD RYKHOEK","145","C","Fort Worth, TX Fort Worth Christian","Baylor","2012"
"SAM CASSELL","146","SG","Baltimore (Md.), MA Notre Dame","Maryland","2012"
"CARLOS MORRIS","147","SG","Jacksonville, FL Arlington Country Day","Undecided","2012"
"DANIEL DINGLE","148","PF","Bronx, NY St. Raymond's","Temple","2012"
"MICHAEL QUALLS","149","SF","Shreveport, LA Huntington","Arkansas","2012"
"SHELDON JETER","150","SF","Beaver Falls, PA Beaver Falls","Vanderbilt","2012"
"ANDREW WIGGINS","1","SF","Huntington, WV Huntington Prep","Kansas","2013"
"JULIUS RANDLE","2","PF","Plano, TX Prestonwood Christian Academy","Kentucky","2013"
"AARON GORDON","3","PF","San Jose, CA Archbishop Mitty","Arizona","2013"
"JABARI PARKER","4","SF","Chicago, IL Simeon","Duke","2013"
"ANDREW HARRISON","5","PG","Fort Bend, TX Travis (Richmond)","Kentucky","2013"
"CHRIS WALKER","6","C","Bonifay, FL Holmes County","Florida","2013"
"AARON HARRISON","7","SG","Fort Bend, TX Travis (Richmond)","Kentucky","2013"
"NOAH VONLEH","8","PF","Haverhill (Mass.), NH New Hampton Prep","Indiana","2013"
"DAKARI JOHNSON","9","C","Montverde, FL Montverde Academy","Kentucky","2013"
"KASEY HILL","10","PG","Clermont, FL Montverde Academy","Florida","2013"
"JAMES YOUNG","11","SF","Rochester Hls, MI Rochester","Kentucky","2013"
"WAYNE SELDEN","12","SG","Tilton, NH Tilton School","Kansas","2013"
"JARELL MARTIN","13","PF","Baton Rouge, LA Madison Prep Academy","Louisiana State","2013"
"ISAAC HAMILTON","14","SG","Los Angeles, CA St. John Bosco","UCLA","2013"
"BOBBY PORTIS","15","PF","Little Rock, AR Hall","Arkansas","2013"
"ISAIAH HICKS","16","PF","Oxford, NC J.F. Webb","North Carolina","2013"
"AUSTIN NICHOLS","17","PF","Eads, TN Briarcrest Christian","Memphis","2013"
"KEITH FRAZIER","18","SG","Dallas, TX Kimball","SMU","2013"
"MARCUS LEE","19","PF","Antioch, CA Deer Valley","Kentucky","2013"
"RYSHEED JORDAN","20","PG","Philadelphia, PA Vaux Roberts","St. John's","2013"
"RONDAE HOLLIS-JEFFERSON","21","SF","Chester, PA Chester","Arizona","2013"
"TYLER ENNIS","22","PG","Newark, NJ St. Benedict's HS","Syracuse","2013"
"ROBERT HUBBS","23","SG","Newbern, TN Dyer County","Tennessee","2013"
"ZAKARIE IRVIN","24","SG","Fishers, IN Hamilton Southeastern","Michigan","2013"
"JOEL EMBIID","25","C","Gainesville, FL Rock School","Kansas","2013"
"JERMAINE LAWRENCE","26","PF","Sparta, NJ Pope John XXIII","Cincinnati","2013"
"ANTHONY BARBER","27","PG","Hampton, VA Hampton","NC State","2013"
"KURAN IVERSON","28","SF","Waynesboro, VA Fishburne Military School","Memphis","2013"
"BRANNEN GREENE","29","SF","Tifton, GA Tift County","Kansas","2013"
"XAVIER RATHAN-MAYES","30","SG","Toronto (Canada), WV Huntington Prep","Florida State","2013"
"SEMI OJELEYE","31","SF","Ottawa, KS Ottawa","Duke","2013"
"JABARI BIRD","32","SG","Richmond, CA Salesian","California","2013"
"NIGEL WILLIAMS-GOSS","33","PG","Henderson, NV Findlay Prep","Washington","2013"
"CONNER FRANKAMP","34","PG","Wichita, KS Wichita North","Kansas","2013"
"JAJUAN JOHNSON","35","SG","Memphis, TN Southwind","Marquette","2013"
"MATT JONES","36","SG","DeSoto, TX DeSoto","Duke","2013"
"DERRICK WALTON","37","PG","Detroit, MI Chandler Park Academy","Michigan","2013"
"DEMETRIUS JACKSON","38","PG","Mishawaka, IN Marian","Notre Dame","2013"
"TYLER ROBERSON","39","PF","Roselle, NJ Roselle Catholic","Syracuse","2013"
"CHRISTIAN WOOD","40","PF","Palmdale (Calif.), NV Findlay Prep","UNLV","2013"
"JORDAN MICKEY","41","PF","Dallas, TX Prime Prep Academy","Louisiana State","2013"
"JOHNATHAN WILLIAMS III","42","PF","Memphis, TN Southwind","Missouri","2013"
"SINDARIUS THORNWELL","43","SG","Mouth of Wilson, VA Oak Hill Academy","South Carolina","2013"
"ZACH LAVINE","44","SG","Bothell, WA Bothell","UCLA","2013"
"BRANDON AUSTIN","45","SF","Philadelphia, PA Imhotep Inst Charter School","Providence","2013"
"NICK KING","46","SF","Memphis, TN Memphis East","Memphis","2013"
"TROY WILLIAMS","47","SF","Mount of Wilson, VA Oak Hill Academy","Indiana","2013"
"RODDY PETERS","48","PG","District Heights, MD Suitland","Maryland","2013"
"ERIC MIKA","49","PF","Highland, UT Lone Peak","Brigham Young","2013"
"ANTON GILL","50","SG","Hargrave Military, VA Hargrave Military Academy","Louisville","2013"
"DUANE WILSON","51","PG","Milwaukee, WI Dominican","Marquette","2013"
"DEONTE BURTON","52","SF","Milwaukee, WI Milwaukee Vincent","Marquette","2013"
"DETRICK MOSTELLA","53","SG","Fitchburg, MA Notre Dame","Tennessee","2013"
"MATT THOMAS","54","SG","Onalaska, WI Onalaska","Iowa State","2013"
"ISHMAIL WAINRIGHT","55","SF","Kansas City (Mo.), MD Montrose Christian","Baylor","2013"
"STANFORD ROBINSON","56","SG","Henderson, NV Findlay Prep","Indiana","2013"
"KENNEDY MEEKS","57","C","Charlotte, NC West Charlotte","North Carolina","2013"
"BEEJAY ANYA","58","C","Hyattsville, MD DeMatha","NC State","2013"
"MARKEL CRAWFORD","59","SG","Memphis, TN Melrose","Memphis","2013"
"KENDRICK NUNN","60","SG","Chicago, IL Simeon","Illinois","2013"
"KENDALL STEPHENS","61","SG","St. Charles, IL","Purdue","2013"
"MALCOLM HILL","62","SF","Belleville, IL Belleville East","Illinois","2013"
"MOSES KINGSLEY","63","C","Huntington, WV Huntington Prep","Arkansas","2013"
"DEVIN WILLIAMS","64","PF","Montverde, FL Montverde Academy","West Virginia","2013"
"KARVIAR SHEPHERD","65","C","Dallas, TX Prime Prep Academy","TCU","2013"
"KENTAN FACEY","66","PF","Glen Head, NY Long Island Lutheran","Connecticut","2013"
"MARC LOVING","67","PF","Toledo, OH St. John's","Ohio State","2013"
"JORDAN BELL","68","PF","Long Beach, CA Poly","Oregon","2013"
"JIMMIE TAYLOR","69","PF","Greensboro, AL Greensboro","Alabama","2013"
"STEVIE CLARK","70","PG","Oklahoma City, OK Douglass","Oklahoma State","2013"
"TIM QUARTERMAN","71","PG","Savannah, GA Johnson","Louisiana State","2013"
"WESLEY CLARK","72","PG","Romulus, MI Romulus","Missouri","2013"
"BRONSON KOENIG","73","PG","La Crosse, WI Aquinas","Wisconsin","2013"
"KRIS JENKINS","74","PF","Washington, DC Gonzaga","Villanova","2013"
"BRYSON SCOTT","75","PG","Ft. Wayne, IN Northrop","Purdue","2013"
"FRANK MASON","76","PG","Woodstock, VA Massanutten Military Academy","Kansas","2013"
"DAMIAN JONES","77","C","Baton Rouge, LA Scotlandville","Vanderbilt","2013"
"JORDAN MATHEWS","78","SG","Santa Monica, CA Santa Monica","California","2013"
"KAMERON WILLIAMS","79","SG","Baltimore, MD Mount St. Joseph","Ohio State","2013"
"DOMINIC WOODSON","80","C","Huntington, WV Huntington Prep","Memphis","2013"
"ALLERIK FREEMAN","81","SG","Henderson, NV Findlay Prep","Baylor","2013"
"ZENA EDOSOMWAN","82","C","North Hollywood, CA Harvard Westlake","Harvard","2013"
"JOHN EGBUNU","83","C","Fort Walton Beach, FL Fort Walton Beach","South Florida","2013"
"JOSH HART","84","SF","Silver Springs, MD Sidwell Friends","Villanova","2013"
"MAMADOU NDIAYE","85","C","San Diego, CA Brethren Christian","UC-Irvine","2013"
"V.J. BEACHEM","86","SF","New Haven, IN New Haven","Notre Dame","2013"
"AKOY AGAU","87","C","Omaha, NE Central High School","Louisville","2013"
"REGGIE CAMERON","88","SF","Hackensack, NJ Hudson Catholic","Georgetown","2013"
"NICK EMERY","89","PG","Highland, UT Lone Peak","Brigham Young","2013"
"NATE BRITT","90","PG","Washington (D.C.), VA Oak Hill Academy","North Carolina","2013"
"DARIN JOHNSON","91","SG","Sacramento, CA Sheldon","Washington","2013"
"ROSCHON PRINCE","92","SF","Long Beach, CA Poly","USC","2013"
"KYLE WASHINGTON","93","C","Wolfeboro, NH Brewster Academy","NC State","2013"
"LUKE FISCHER","94","C","Germantown, WI Germantown","Indiana","2013"
"RASHAWN POWELL","95","PG","Orlando, FL Dr. Phillips","Memphis","2013"
"MONTE MORRIS","96","PG","Flint, MI Beecher","Iowa State","2013"
"AUSTIN COLBERT","97","C","Gladstone, NJ Gill St Bernards School","Illinois","2013"
"SHANNON HALE","98","PF","Arden, NC Christ School","Alabama","2013"
"BILLY GARRETT","99","PG","Chicago, IL Morgan Park","DePaul","2013"
"DEMETRIUS HENRY","100","C","Brandon, FL Faith Baptist Christian School","South Carolina","2013"
"E.C. MATTHEWS","101","PG","Romulus, MI Romulus","Rhode Island","2013"
"MIKE YOUNG","102","PF","Newark, NJ St. Benedict's Prep","Pittsburgh","2013"
"DAKARAI ALLEN","103","SF","Sacramento, CA Sheldon","San Diego State","2013"
"DAVON REED","104","SF","Princeton, NJ Princeton Day School","Miami (FL)","2013"
"DEMARCUS CROAKER","105","SG","Orlando, FL Jones","Texas","2013"
"DAYSHON SMITH","106","PG","Putnam, CT Putnam","Dayton","2013"
"KENDAL YANCY-HARRIS","107","PG","Richardson, TX Berkner","Texas","2013"
"STEVE VASTURIA","108","SG","Philadelphia, PA St. Joseph's","Notre Dame","2013"
"DEANDRE BURNETT","109","SG","Woodstock, VA Massanutten Military Academy","Miami (FL)","2013"
"JOHNATHAN MOTLEY","110","PF","Houston, TX North Shore","Baylor","2013"
"MARK DONNAL","111","PF","Monclavia, OH Wayne High School","Michigan","2013"
"BASIL SMOTHERMAN","112","SF","Indianapolis, IN Lawrence North","Purdue","2013"
"JARQUEZ SMITH","113","C","Gray, GA Jones County","Florida State","2013"
"KYLE DAVIS","114","PG","Chicago, IL Morgan Park","Dayton","2013"
"DEREK WILLIS","115","PF","Mt. Washington, KY Bullitt East","Kentucky","2013"
"DONTE CLARK","116","SG","Chatham, VA Hargrave Military Academy","Virginia Tech","2013"
"KEVIN JOHNSON","117","SG","Cincinnati, OH Summit Country Day","Cincinnati","2013"
"TERRENCE SAMUEL","118","SG","Brooklyn, NY South Shore","Connecticut","2013"
"JARON HOPKINS","119","SG","Mesa, AZ Dobson","Colorado","2013"
"NOLAN BERRY","120","PF","Saint Louis, MO De Smet","Butler","2013"
"JAREN SINA","121","PG","Gladstone, NJ Gill St Bernards School","Seton Hall","2013"
"DEVON HALL","122","PG","Virginia Beach, VA Cape Henry Collegiate School","Virginia","2013"
"TORREN JONES","123","PF","La Porte, IN La Lumiere School","Missouri","2013"
"HASSAN MARTIN","124","PF","Staten Island, NY Curtis","Rhode Island","2013"
"GAVIN SCHILLING","125","PF","Henderson, NV Findlay Prep","Michigan State","2013"
"ELLIOTT PITTS","126","SG","Concord, CA De La Salle","Arizona","2013"
"DEVIN DAVIS","127","SF","Indianapolis, IN Warren Central","Indiana","2013"
"JOSH BROWN","128","SG","Newark, NJ St. Anthony","Temple","2013"
"JOSH NEWKIRK","129","PG","Raleigh, NC Word Of God Christian Academy","Pittsburgh","2013"
"IKENNA IROEGBU","130","PG","Mouth of Wilson, VA Oak Hill Academy","Washington St","2013"
"MARCUS ALLEN","131","SG","Las Vegas, NV Centennial","Stanford","2013"
"DESHAUN MORMAN","132","SG","Brandon, FL Faith Baptist","Cincinnati","2013"
"BRANDON WATKINS","133","C","Atlanta, GA Grady","West Virginia","2013"
"GREG MCCLINTON","134","SF","Chatham, VA Hargrave Military Academy","Wake Forest","2013"
"PAUL WATSON","135","SF","Phoenix, AZ Paradise Valley","Fresno State","2013"
"B.J. JOHNSON","136","SF","Ardmore, PA Lower Merion","Syracuse","2013"
"LEYTON HAMMONDS","137","SF","North Richland Hills, TX Richland","Oklahoma State","2013"
"STERLING BROWN","138","SG","Maywood, IL Proviso East","SMU","2013"
"JUNIOR ETOU","139","C","Arlington, VA Bishop O'Connell","Rutgers","2013"
"ELIJAH BROWN","140","SG","Santa Ana, CA Mater Dei","Butler","2013"
"JON SEVERE","141","SG","Brooklyn, NY Christ The King","Fordham","2013"
"JUWAN PARKER","142","SG","Tulsa, OK Booker T. Washington","Georgia","2013"
"TRE'SHAUN FLETCHER","143","SF","Tacoma, WA Lincoln","Colorado","2013"
"STEVEN HANEY","144","SF","Fort Lauderdale, FL St. Thomas Aquinas","UCF","2013"
"CULLEN NEAL","145","PG","Albuquerque, NM Eldorado","New Mexico","2013"
"BRANDON RANDOLPH","146","PG","Inglewood, CA Inglewood","Xavier","2013"
"TRAVIS JORGENSON","147","PG","New Hampton, NH New Hampton Prep","Georgia Tech","2013"
"RODNEY BULLOCK","148","PF","Hampton, VA Kecoughtan","Providence","2013"
"DARIUS THOMPSON","149","PG","Murfreesboro, TN Blackman","Tennessee","2013"
"DUSTIN THOMAS","150","SF","Texarkana, TX Pleasant Grove","Colorado","2013"
"JAHLIL OKAFOR","1","C","Chicago, IL Whitney Young","Duke","2014"
"EMMANUEL MUDIAY","2","PG","Dallas, TX Prime Prep Academy","SMU","2014"
"STANLEY JOHNSON","3","SF","Santa Ana, CA Mater Dei","Arizona","2014"
"CLIFF ALEXANDER","4","PF","Chicago, IL Curie","Kansas","2014"
"KARL-ANTHONY TOWNS","5","C","Metuchen, NJ St. Joseph's","Kentucky","2014"
"KELLY OUBRE","6","SF","Henderson, NV Findlay Prep","Kansas","2014"
"TYUS JONES","7","PG","Apple Valley, MN Apple Valley","Duke","2014"
"RASHAD VAUGHN","8","SG","Henderson, NV Findlay Prep","UNLV","2014"
"MYLES TURNER","9","C","Euless, TX Trinity","Texas","2014"
"KEVON LOONEY","10","PF","Milwaukee, WI Milwaukee Hamilton","UCLA","2014"
"JUSTIN JACKSON","11","SF","Houston, TX HCYA","North Carolina","2014"
"JUSTISE WINSLOW","12","SF","Houston, TX St. Johns","Duke","2014"
"TREY LYLES","13","PF","Indianapolis, IN Arsenal Technical","Kentucky","2014"
"DANIEL HAMILTON","14","SG","Los Angeles, CA St. John Bosco","Connecticut","2014"
"DWAYNE MORGAN","15","SF","Baltimore, MD St. Frances","UNLV","2014"
"ISAIAH WHITEHEAD","16","SG","Brooklyn, NY Abraham Lincoln","Seton Hall","2014"
"THEO PINSON","17","SF","High Point, NC Wesleyan Christian Academy","North Carolina","2014"
"D'ANGELO RUSSELL","18","SG","Montverde, FL Montverde Academy","Ohio State","2014"
"CHRIS MCCULLOUGH","19","PF","Bradenton, FL IMG Academy","Syracuse","2014"
"DEVIN ROBINSON","20","SF","Christchurch, VA Christchurch School","Florida","2014"
"TYLER ULIS","21","PG","Chicago Heights, IL Marian Catholic","Kentucky","2014"
"JAMES BLACKMON","22","SG","Marion, IN Marion","Indiana","2014"
"ISAAC COPELAND","23","PF","Wolfeboro, NH Brewster Academy","Georgetown","2014"
"JAQUAN LYLE","24","SG","Bradenton, FL IMG Academy","Ohio State","2014"
"KAMERON CHATMAN","25","SF","Porland, OR Columbia Christian School","Michigan","2014"
"KEITA BATES-DIOP","26","SF","Normal, IL University","Ohio State","2014"
"JOEL BERRY","27","PG","Apopka, FL Lake Highland","North Carolina","2014"
"GRAYSON ALLEN","28","SG","Jacksonville, FL Providence School","Duke","2014"
"DEVIN BOOKER","29","SG","Moss Point, MS Moss Point","Kentucky","2014"
"SHAQQUAN AARON","30","SF","Seattle, WA Rainier Beach","Louisville","2014"
"GOODLUCK OKONOBOH","31","C","Wilbraham, MA Wilbraham And Monson Academy","UNLV","2014"
"JONAH BOLDEN","32","SF","Wolfeboro, NH Brewster Academy","UCLA","2014"
"QUENTIN SNIDER","33","PG","Louisville, KY Ballard","Louisville","2014"
"TREVON BLUIETT","34","SF","Indianapolis, IN Park Tudor School","Xavier","2014"
"BRANDONE FRANCIS","35","SG","Jacksonville, FL Arlington Country Day","Florida","2014"
"DEVONTE GRAHAM","36","PG","Wolfeboro, NH Brewster Academy","Kansas","2014"
"JA'QUAN NEWTON","37","PG","Philadelphia, PA Neumann-Goretti","Miami (FL)","2014"
"LERON BLACK","38","PF","Memphis, TN White Station","Illinois","2014"
"ROMELO TRIMBLE","39","SG","Arlington, VA Bishop O'Connell","Maryland","2014"
"CRAIG VICTOR","40","PF","Henderson, NV Findlay Prep","Arizona","2014"
"THOMAS WELSH","41","C","Los Angeles, CA Loyola","UCLA","2014"
"CHRIS CHIOZZA","42","PG","Memphis, TN White Station","Florida","2014"
"TERRY LARRIER","43","SF","Malvern, PA Phelps School","Va Commonwealth","2014"
"REID TRAVIS","44","PF","Minneapolis, MN De La Salle","Stanford","2014"
"ABDUL-MALIK ABU","45","PF","Meriden, NH Kimball Union Academy","NC State","2014"
"KALEB JOSEPH","46","PG","Ashburnham, MA Cushing Academy","Syracuse","2014"
"MICHAEL HUMPHREY","47","PF","Phoenix, AZ Sunnyslope","Stanford","2014"
"ROBERT JOHNSON","48","SG","Chesterfield, VA Benedictine School","Indiana","2014"
"JORDAN MCLAUGHLIN","49","PG","Etiwanda, CA Etiwanda","USC","2014"
"PAUL WHITE","50","PF","Chicago, IL Whitney Young","Georgetown","2014"
"PARKER JACKSON-CARTWRIGHT","51","PG","Los Angeles, CA Loyola","Arizona","2014"
"JAKEENAN GANT","52","PF","Osage, MO Osage","Missouri","2014"
"ANGEL DELGADO","53","PF","Elizabeth, NJ The Patrick School","Seton Hall","2014"
"JAYLEN JOHNSON","54","PF","Ypsilanti, MI Ypsilanti","Louisville","2014"
"DION WILEY","55","SG","Oxon Hill, MD Potomac","Maryland","2014"
"ELBERT ROBINSON","56","C","Garland, TX Lakeview Centennial","Louisiana State","2014"
"T.J. HAWS","57","SG","Highland, UT Lone Peak","Brigham Young","2014"
"ALEX ROBINSON","58","PG","Arlington, TX Timberview","Texas A&M","2014"
"BREKKOTT CHAPMAN","59","PF","Roy, UT Roy","Utah","2014"
"CALEB MARTIN","60","SF","Mouth of Wilson, VA Oak Hill Academy","NC State","2014"
"PASCHAL CHUKWU","61","C","Fairfield, CT Fairfield College Prep School","Providence","2014"
"LOURAWLS NAIRN","62","PG","Bel Aire, KS Sunrise Christian Academy","Michigan State","2014"
"AHMED HILL","63","SG","Augusta, GA Aquinas","Virginia Tech","2014"
"ELIJAH STEWART","64","SG","Los Anglees, CA Westchester","USC","2014"
"B.J. STITH","65","SG","Mouth of Wilson, VA Oak Hill Academy","Virginia","2014"
"JARED TERRELL","66","SG","Wolfeboro, NH Brewster Academy","Rhode Island","2014"
"JOSH PERKINS","67","PG","Huntington, WV Huntington Prep","Gonzaga","2014"
"L.J. PEAK","68","SF","Gaffney, SC Gaffney","Georgetown","2014"
"JALEN LINDSEY","69","SF","Huntington, WV Huntington Prep","Providence","2014"
"JORDAN BARNETT","70","SF","St. Louis, MO Christian Brothers College High","Texas","2014"
"ISAAC HAAS","71","C","Piedmont, AL Hokes Bluff","Purdue","2014"
